	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
CTD-2116F7.1	3408.14841845405	-1.50610055962894	0.106266881815338	-14.1685354139105	1.43461343924579e-45	7.25864930829432e-43
CTD-2521M24.11	727.653922068851	-1.99986804512601	0.142345887605468	-14.0050216155965	1.45235530058971e-44	7.10346977518425e-42
CTD-2532D12.4	325.045700640711	-2.82118667855151	0.201555804982594	-13.7058104142334	9.37150653303207e-43	4.43574565674773e-40
ATP1B1	3153.4328403414	-1.72689913179828	0.127126207372071	-13.5781478266688	5.39741044780291e-42	2.47488135939413e-39
DLG5	3143.06225104625	1.54007213941028	0.113708463737296	13.5397161719531	9.11403810906267e-42	4.05243276285686e-39
ITPR3	2688.66278362004	1.36637772270699	0.101480089689557	13.4603274567622	2.67727099071539e-41	1.15539991902256e-38
JARID2	8040.47981512265	-1.22326992856113	0.0912460515876228	-13.4052368572279	5.63431159777888e-41	2.36206440212027e-38
TNC	202.468238222802	-3.74711961523336	0.24399629124873	-13.3811247778069	7.79586296780968e-41	3.17746381462976e-38
HMGB2	6945.75430320763	1.32477702520815	0.0997638296710885	13.2778104841484	3.113659152081e-40	1.23477623617526e-37
TNR	648.842337444724	-2.07531798044408	0.156998086804	-13.1676934961788	1.34648619353024e-39	5.19920839938664e-37
GSN	404.449583745106	-2.35821699324319	0.177664143523789	-13.1507659463571	1.68459270136219e-39	6.33795607874037e-37
DCAF16	1268.06843394424	1.58715556378298	0.120903850526666	13.1150085953888	2.70151604569504e-39	9.90983623462083e-37
SLC13A2	326.782180615762	-2.64207972415942	0.198982545138688	-13.0583317146384	5.69624103603567e-39	2.03855962735979e-36
HEG1	6402.80493917757	-1.46227477613985	0.112953527475498	-12.943937122486	2.54257812879267e-38	8.88267830566067e-36
CACNA2D1	1025.98754074204	1.66044947792528	0.128672688878576	12.8873462226251	5.30376488068906e-38	1.80981725800815e-35
CGNL1	616.573358402999	-1.98966395514774	0.154789581765701	-12.8068458039552	1.50113392108303e-37	5.00594046001167e-35
MVP	1214.65414991407	-1.71401915534575	0.1339481163695	-12.7809715850385	2.09436742446468e-37	6.82903404870451e-35
ESPN	494.778399678835	-2.28973318429671	0.179458306436951	-12.6762186439702	8.01039859243107e-37	2.55514301188567e-34
ABI2	3397.8645574603	1.23702715862485	0.0982311234918214	12.5906101955021	2.37827738957231e-36	7.4247796036584e-34
UNC13D	436.524395322394	-2.27805884314822	0.180613663553844	-12.5189655930781	5.87964028978054e-36	1.79733254108229e-33
GRM4	1400.82846830292	-1.4643707649459	0.117055971415539	-12.5010404640002	7.36805759179801e-36	2.2063573274378e-33
CHRNA9	752.770317154163	-2.12301406072905	0.170751044190365	-12.3923962771702	2.8732741491258e-35	8.43191031802459e-33
GUCA1A	721.494795917686	-1.98232063170512	0.160383775364069	-12.3235335770689	6.7663153864754e-35	1.94670873854419e-32
S1PR3	366.431945055153	-2.49721477972832	0.202286820131745	-12.2019405645945	3.03503440225044e-34	8.56404995850398e-32
DSP	19613.6795370088	-1.2175490846415	0.100653824203323	-12.0960352742541	1.10836140548309e-33	3.06848809484025e-31
GUCA1B	198.164882245127	-2.81310537809593	0.228940068171914	-11.8393520638595	2.4433324608056e-32	6.63907725877788e-30
GNLY	212.884090413548	-2.70606870593173	0.222215912790221	-11.8236923879403	2.94452042917867e-32	7.85544513769793e-30
KPNA3	2013.49581677329	1.25362920438814	0.106765061564396	11.7379870206931	8.14008739424846e-32	2.13284825599656e-29
RBPJ	5272.53893568829	1.09519435978561	0.0938397376709754	11.669856213481	1.81730132790867e-31	4.67811620779015e-29
FAM179A	472.194959251856	-2.1657410977538	0.184791255723507	-11.6540351289017	2.18845240672953e-31	5.53640726964525e-29
LOXL1-AS1	1563.53164658434	-1.59935868899103	0.137290447503064	-11.6406303617756	2.56115653303615e-31	6.3694660693626e-29
TBCD	5588.68125025276	1.1253257901149	0.0967349132259022	11.6320602173647	2.83179302114783e-31	6.92514983321701e-29
RNF152	187.875811094215	-4.14525762475053	0.258403295389011	-11.5612091108543	6.47900190778099e-31	1.5584654916864e-28
RSPO1	193.548555673614	-2.72523275882587	0.228434467111994	-11.5350601965538	8.78257149627155e-31	2.07849470265794e-28
LPHN3	431.574261254432	-1.93988209140631	0.167886962315588	-11.4974181024155	1.35920584780688e-30	3.16565514363021e-28
SNX29	1654.14814875773	-1.28108464914284	0.111504314994612	-11.4840272008349	1.58711845196272e-30	3.63871703838266e-28
ZEB2	702.711873325339	1.64364788648879	0.143846782166044	11.4043624199601	3.9768023627448e-30	8.97717247208529e-28
E2F7	1330.41462628843	1.64505098420717	0.144589349124502	11.3674677877807	6.07237278210046e-30	1.34999887623879e-27
EPAS1	3381.32284956823	-1.53905006673385	0.135707354936384	-11.3376305609526	8.54261331847178e-30	1.87083231674532e-27
DRAXIN	1164.68678033513	1.65140237901078	0.146233564311072	11.2807418534495	1.63362493256729e-29	3.52502626993527e-27
DOCK8	10089.1318291153	-1.19013176690849	0.107246907330674	-11.0965067243635	1.30443169876002e-28	2.77390236462402e-26
CLDN5	358.870909167824	-1.97730371564064	0.179263156840361	-10.9608385680208	5.89505738367295e-28	1.23568824272333e-25
ALDH9A1	942.493774549175	1.43871464032467	0.131662121856581	10.9160935532669	9.65601490496375e-28	1.9955310802892e-25
MYH11	150.122084570557	-2.90990720054019	0.251343966101617	-10.9017687555203	1.13038253048694e-27	2.30362539858817e-25
BTBD2	3170.57184479535	1.20800915144309	0.110814662374329	10.8991319876739	1.16362023812884e-27	2.30727023703574e-25
SYTL4	1757.01278332762	1.34482653751213	0.123327399471208	10.8999228110882	1.15355105198911e-27	2.30727023703574e-25
GNAT2	802.053240744019	-1.63099004079905	0.152052460144028	-10.7089794738121	9.23744668803257e-27	1.80721407004669e-24
FRMD3	168.541817297975	-2.72913508823022	0.246033748509725	-10.66872301872	1.42572246762782e-26	2.75258233782934e-24
PLXNA2	146.136506281256	-2.68144814718737	0.245584594187938	-10.4469548130765	1.51305584071558e-25	2.88325562997659e-23
RALBP1	1890.69514398366	1.13580361944289	0.109071446748156	10.4104491526453	2.2217093978366e-25	4.17937717877647e-23
TAGLN2	912.86503810179	-1.41458244852966	0.135833379778688	-10.4034541693029	2.3910524443106e-25	4.44100158422398e-23
TRIM33	3078.91636209446	1.08168781546347	0.104167010260835	10.3826187806445	2.97500527625871e-25	5.45653155231802e-23
UNC119	3228.64459904142	-1.08474143599507	0.104548568805871	-10.3739436663321	3.25795478991392e-25	5.90172476943296e-23
PHLDB2	856.032465842922	-1.51492027274716	0.146034749402622	-10.3603803544918	3.75465985253279e-25	6.71855170929435e-23
CAMKV	1464.59363851322	1.27614016387675	0.123161872345119	10.3564533767183	3.91199439890238e-25	6.91574624278249e-23
ITGA8	163.354385112701	-2.61430339835417	0.244731528003961	-10.3255967957895	5.39820524356206e-25	9.42950780223644e-23
DPYSL5	7697.20459441259	1.06636381322062	0.10346040301544	10.3064239999456	6.59082449024623e-25	1.1377313852398e-22
SLC35E2B	745.90534422763	1.45507569877995	0.141215545696008	10.2904586172607	7.78049014646511e-25	1.32747827812887e-22
SMC2	2576.22628585858	1.11576433843807	0.108784185954136	10.2546698801515	1.12760640511886e-24	1.90176652670219e-22
SHF	1014.72329581498	-1.38626776952322	0.135231441407704	-10.2423667713484	1.28064573620262e-24	2.1353312371933e-22
NDRG1	4077.9439008382	-1.02911893448544	0.100917404537049	-10.1965701757397	2.05398259201278e-24	3.38630186209028e-22
IMPG1	134.068538196092	-3.69070178660243	0.268724897634266	-10.1712020748222	2.66597973272797e-24	4.34643562425749e-22
CACNA1G	3076.07032938222	0.994588581517153	0.0979244248439531	10.1553638654332	3.1363803793568e-24	5.05715486882443e-22
AQP1	232.985909544856	-2.21502733658453	0.215631790946513	-10.1390160842653	3.70815564438663e-24	5.91410519240054e-22
CACNA1S	507.511020483777	-1.59215661419577	0.157297520045105	-10.0966871686893	5.71399195561922e-24	9.01520472739794e-22
FLNB	3387.17805065198	-1.0005849080763	0.0995575151855468	-10.0490848626369	9.27244801633308e-24	1.44738967812399e-21
MRPS27	2381.74133086984	1.07495480622431	0.107305269107345	10.0157126932327	1.30021371635292e-23	2.00821430105752e-21
GNA12	918.146658145241	1.30653719587028	0.130386017232897	10.0122065940101	1.34713760277482e-23	2.05901562974114e-21
HSPA4L	2215.10192880258	1.09525640198894	0.109536659939714	9.9967430987941	1.57491673993125e-23	2.3823457036094e-21
ATAD2	5030.82161879158	0.966703907465261	0.0967194128734511	9.99423257376933	1.61533554396352e-23	2.41855290169151e-21
RNF41	815.192249802574	1.34905161233152	0.134988779611242	9.98363545073389	1.79757274506966e-23	2.6642206957987e-21
DPP4	421.887498689424	-1.7909034597873	0.179765537113548	-9.92288591293795	3.310434135766e-23	4.85740000740945e-21
KLF2	157.196562418615	-2.41884551759014	0.237875320164016	-9.89302157389615	4.46348349304496e-23	6.48442507855927e-21
TBC1D14	908.980107558196	1.29193842158593	0.130731614680424	9.87431723274932	5.37980747476717e-23	7.73901128208418e-21
PITPNA	4793.28100421353	1.11874427759899	0.113418896623085	9.86285618378594	6.03089606035021e-23	8.59139202849695e-21
S100A13	897.488798959831	-1.32202441144303	0.134545562462154	-9.81726048722754	9.48870828582714e-23	1.32669990873093e-20
INSIG1	2388.90827015478	1.09805589625343	0.111828296931357	9.81720569521739	9.49386563189176e-23	1.32669990873093e-20
GPRIN3	5522.5604891354	0.889045708033978	0.090730869980497	9.79817221311034	1.14641251725034e-22	1.58691611939757e-20
MICAL2	2201.3390854965	-1.02013697147066	0.104147469490069	-9.79318537424605	1.20440537051394e-22	1.65161121509823e-20
COX6C	503.375349260403	1.63884258693576	0.167352827035692	9.76707874716289	1.55881900960613e-22	2.1178288266621e-20
RP1	629.105425407415	-1.77873428825862	0.183127656297219	-9.69094184475082	3.29476139243609e-22	4.43523246891878e-20
FYCO1	1848.96690642413	-1.0622739924889	0.110153347516591	-9.64111388860739	5.36031243396438e-22	7.15016948577812e-20
SEMA6D	899.15682253473	-1.24770988002765	0.130166598750299	-9.57795048836231	9.89897081281288e-22	1.30853692555318e-19
NEURL	350.642335201598	-1.8214857122644	0.189477877283488	-9.5655646358836	1.11590670031281e-21	1.4619374119366e-19
ARHGAP26	535.441105099893	-1.73355298756421	0.182058966832648	-9.49735316277768	2.15292865096463e-21	2.79556832704461e-19
ARL4C	1222.03743379739	-1.23426758919509	0.130098050626036	-9.48212696952965	2.49151854640313e-21	3.20684663433098e-19
TDRG1	590.607974547493	-1.60414491130625	0.169606622900099	-9.43847110471826	3.78258171932892e-21	4.82624535371419e-19
SOX6	290.404451049788	1.90963227784492	0.201135865185246	9.43117090797588	4.05536254117696e-21	5.12968401436979e-19
GNGT2	1485.44711361114	-1.13536785220473	0.120965167267502	-9.3823573725267	6.45138959703485e-21	8.09070423566602e-19
CDHR1	7178.08625718283	-0.961259042252137	0.103595059430132	-9.27853150891478	1.71830367428874e-20	2.13666693329142e-18
CKM	1024.57266490224	1.25462043781396	0.135168400977389	9.27575520751397	1.763651534556e-20	2.15650491387835e-18
MFI2	1394.87549021725	-1.10276388060377	0.118831823927469	-9.27658239747262	1.75001792286646e-20	2.15650491387835e-18
IGSF9	2015.05498925375	-1.27928312340679	0.138388418697966	-9.24115075127453	2.43860272486364e-20	2.9571584943739e-18
GMFB	1729.58049481953	1.11643884292069	0.121333094314672	9.19884928411671	3.61803360997877e-20	4.35142681632938e-18
S100A16	339.1861876698	-1.83141145857881	0.198376358848731	-9.186793049756	4.04727421132712e-20	4.82810199209779e-18
AMOTL2	8192.79931805713	0.857434033828023	0.0935718349305962	9.16307215858886	5.04404598761943e-20	5.96865215938225e-18
LRRC8B	1424.15240134375	1.15748224180708	0.126317399754641	9.15983712796721	5.19757038170979e-20	6.10111601686622e-18
TMEM194A	3610.47646469246	0.900780193011675	0.0985533431981327	9.1392470981265	6.28886248458306e-20	7.32353009811804e-18
TUSC3	1288.78086143624	1.10689044830836	0.121272248249542	9.12361061256569	7.26622747303185e-20	8.3950673788816e-18
MXRA5	7720.7983195878	-1.1584770202481	0.12718032007342	-9.1083792789495	8.36217742151977e-20	9.58579916452809e-18
LRRC55	230.138059291246	-1.95984416143971	0.213757290997861	-9.08503770163787	1.03662749355198e-19	1.17910350487505e-17
VTN	203.570566046213	-1.96753791141968	0.215207883409312	-9.04413694360866	1.5085208636361e-19	1.70265589477942e-17
NEDD4L	1574.18542563963	-1.15571066141765	0.127906361794186	-9.0324863733561	1.67814720741934e-19	1.87965297514992e-17
NLN	2058.44928158407	1.01833835218129	0.11281526587822	9.02477026453713	1.80072804173234e-19	2.00167292093475e-17
NCMAP	299.701990706312	-1.79505741807266	0.197873304503119	-9.02115751708681	1.86112260008561e-19	2.05325202338768e-17
CTD-3064M3.4	249.992893754705	-1.87074006875735	0.205972970491634	-9.01373019368251	1.99164289388929e-19	2.18084896880877e-17
TTYH3	5637.29332397178	0.820094597205334	0.0911092533504859	9.0008216074183	2.24034723690545e-19	2.43500851904545e-17
OSBP2	2412.6055737826	-0.945229291326518	0.105369400018409	-8.96929649074162	2.98414282244928e-19	3.21958291424987e-17
GPR116	732.593293346902	1.62678558839887	0.181547231335269	8.94773409438778	3.62853855499346e-19	3.88624424944665e-17
ACOT11	772.287591432896	-1.34624869820406	0.151483792508011	-8.87759457230397	6.83217422393314e-19	7.26438350636022e-17
NCS1	3999.92710600134	0.873626432449117	0.0986837200179477	8.85216147923765	8.58403806126221e-19	9.0614093865396e-17
CABP5	379.335179468504	-1.57647165507927	0.177619574360693	-8.84747965338839	8.95179498053453e-19	9.38212055352737e-17
MBOAT2	1226.26166033398	1.09614645832944	0.123914995866881	8.84245759296581	9.36358431545978e-19	9.74410444402421e-17
DLST	1995.40751850191	0.936454353130346	0.106809127997761	8.76601662013932	1.85098708444867e-18	1.91264320352925e-16
AQP3	519.67138240203	-1.57870134887316	0.180292408084767	-8.73768698266047	2.37931672235361e-18	2.44137862007654e-16
NRBP1	4207.07810026429	-0.824301480970778	0.0948409714554117	-8.69083520919136	3.59784593528283e-18	3.6660550978059e-16
SHD	265.336117612835	1.79379345798384	0.205462080531465	8.6760379909377	4.0979532090328e-18	4.1468460300785e-16
DKK3	112.238859736119	-3.54294192130988	0.276675735795302	-8.65642406299236	4.86795101890923e-18	4.89229077400378e-16
RBM47	1662.98049010079	-0.954836629560891	0.110486506423904	-8.64012345068345	5.61523131140576e-18	5.60491762124196e-16
TMEM170A	600.923929957804	1.27553989274588	0.148288043063059	8.59132116808475	8.59749424751432e-18	8.52371845228227e-16
CELF4	529.570094347447	1.35083227383224	0.157178513101995	8.58114170507733	9.3936074629635e-18	9.25049679893043e-16
MYH14	172.846620879903	-1.97685397434406	0.227440308777939	-8.58032404491973	9.46062440974684e-18	9.25438279761435e-16
VMP1	1488.56199944088	0.971993367247766	0.113683582269412	8.54770766774299	1.25557244001929e-17	1.22006717962934e-15
C14orf132	4798.72499758533	0.868796889332023	0.102050126562693	8.51296514994435	1.69541040961438e-17	1.63662874607051e-15
TDRD7	313.731240468896	-1.74051368051377	0.20360673170247	-8.50984065384555	1.74172549063001e-17	1.67034889699438e-15
EDC4	2155.97511455679	0.951499808540015	0.111813178848045	8.50838241447478	1.76376643435529e-17	1.68050291501917e-15
NRP2	1139.65990785825	-1.08065457862751	0.127538926067402	-8.46934655265162	2.46773466742447e-17	2.33606908226576e-15
USP37	928.220058644368	1.12400947306631	0.133381265476594	8.42233917252957	3.69040856624945e-17	3.47111313413963e-15
PTER	2470.95040378473	-0.881910446170867	0.105110245412933	-8.38923713275548	4.89306848267054e-17	4.57299323861305e-15
GALNT14	1465.07433703872	0.954317150271321	0.114296901310242	8.3473585759874	6.98065401449342e-17	6.48273014902924e-15
TMEM184A	1324.34172569315	-1.19696281805449	0.143896943809493	-8.31446107489225	9.21701481971503e-17	8.50573952513702e-15
PTPN9	1137.70283543881	1.07172885789292	0.129077720567555	8.29962362884029	1.04441735136262e-16	9.57795987283982e-15
NUP43	1482.15065197516	1.01848041123838	0.123043163702972	8.2751476552379	1.28296533913541e-16	1.16925157895242e-14
VHL	1938.54430347055	0.888087079799536	0.107433066164139	8.26508725263425	1.39592606112402e-16	1.26434710462177e-14
LYPD2	731.044259910134	-1.33198630984081	0.161075480413724	-8.26083981829325	1.44651093661057e-16	1.30212607195626e-14
CHP1	1202.17099642244	1.08230667798038	0.131109875214408	8.25166201905206	1.56206675369931e-16	1.38670984766014e-14
SPRED2	2176.08206124107	0.902899290468359	0.109411110378274	8.25114611231171	1.56882597090972e-16	1.38670984766014e-14
GGT5	101.671350748884	-2.2920105368883	0.268043190385403	-8.2523809418138	1.55269555542844e-16	1.38670984766014e-14
RHOU	642.144349284267	-1.18795827039018	0.144563047528094	-8.2094296095589	2.22241706688814e-16	1.95266620493711e-14
SLC39A10	2730.50582402828	0.842268294606583	0.102836847252062	8.18948036577582	2.62356421670879e-16	2.29140224712905e-14
CUL4A	1923.87148480567	0.978774248313944	0.119815686786843	8.16741689272263	3.15062642967498e-16	2.73545216583556e-14
ROM1	340.954647295507	-1.52688597191809	0.186404041949331	-8.16552167775848	3.20049056148258e-16	2.76239988286082e-14
ALDOC	843.482298181838	-1.40713135241356	0.17228920180804	-8.15948487008826	3.36456418921489e-16	2.88703218411404e-14
PAN2	1000.92336097191	1.07835441427488	0.132135142473722	8.15701902223786	3.43394324550855e-16	2.92943309542715e-14
GFRA1	1498.35601149673	-1.19161674321478	0.146235815515201	-8.14577797373129	3.7685105501955e-16	3.19626331231321e-14
RP11-214O1.2	539.349152805323	-1.34412657283589	0.16558192536032	-8.10520159922705	5.26581296634571e-16	4.44053296868911e-14
NOLC1	11121.6952295515	0.757685052113538	0.0935083959464886	8.10270213178604	5.37517313521581e-16	4.50685230931552e-14
SLC39A11	1423.30017118135	-0.949342720332413	0.117428088344283	-8.08228706765413	6.35632611108404e-16	5.29922574022364e-14
ZBTB38	846.109707834004	-1.24386945392165	0.153825285399523	-8.07989439202419	6.48228858447608e-16	5.37370736723262e-14
AC020601.1	157.172017576936	-2.09693397992752	0.256397358334571	-8.06977216902329	7.04294667754828e-16	5.80568295503741e-14
KCNH6	4826.93171658553	-0.791017786835538	0.0981453261431785	-8.05924185616651	7.67690761663746e-16	6.2929198580403e-14
RP11-345P4.9	509.387332061034	-1.25885008220669	0.156206604089745	-8.04752280978638	8.44866283911346e-16	6.88706832435065e-14
PROM1	1476.88574812708	1.02023367670002	0.126765682798967	8.04573528876817	8.5729119921025e-16	6.94974241216132e-14
NEDD9	174.79359581328	-1.97350451262805	0.242628026823618	-8.04098030207533	8.91225849765184e-16	7.18514115033217e-14
TRPV2	120.949229971745	-2.22791473820255	0.271409228248824	-8.03614141315479	9.27117400437944e-16	7.43365771400326e-14
RNH1	2846.5074991369	-0.823200349294004	0.102568034553043	-8.02511866956783	1.01427846742465e-15	8.08831953941405e-14
C7orf33	221.768973944683	-1.66577039224393	0.206425489716939	-8.01888016456253	1.06713551327201e-15	8.46382669526496e-14
KCNN1	1501.19532918546	0.952270728129568	0.11885400120322	8.01018660119975	1.14534526910776e-15	9.03529630839687e-14
TRPC7	70.816206330797	-2.48064047013882	0.283359631994004	-7.98859730262995	1.36482721704126e-15	1.07091496019499e-13
TSPAN14	2724.5107418326	-0.859013751838443	0.107799147562796	-7.96774474707329	1.61596203678129e-15	1.2612239875368e-13
NCR3LG1	1825.54590534589	0.864657812933324	0.109202008864503	7.91666015133984	2.4397542244039e-15	1.89410125580309e-13
GABBR2	1256.06891256982	-0.946495819981044	0.119651962742914	-7.90799064693442	2.61576460555426e-15	2.02005863459461e-13
ZFP36L1	1570.20239684357	-0.888389100874422	0.112398349227662	-7.90230314990378	2.73796526452433e-15	2.10157988297734e-13
WDR45B	1585.04775805228	0.89797807983091	0.113628519656724	7.90111050568088	2.76429440069942e-15	2.10157988297734e-13
SAG	243.404589341177	-1.67201018779279	0.210470583277989	-7.90161999423586	2.75301642906494e-15	2.10157988297734e-13
SFRP2	11805.3260034592	0.811233944095962	0.102914007955342	7.88247020513944	3.20971565955219e-15	2.42763700374275e-13
PFKP	2550.29436418661	0.850090527612213	0.107879941239594	7.87910721948411	3.29728471096141e-15	2.48107992635573e-13
ITPKB	1464.79079488819	0.943365687609814	0.119964832640564	7.86184644550596	3.78511872731752e-15	2.83362485132296e-13
SPON1	2953.86078289169	0.804491348930599	0.102450549826046	7.85177461720946	4.10191158089648e-15	3.05519536175096e-13
IL13RA1	479.134112193713	-1.24713734775263	0.158706469190077	-7.84653672501362	4.27683549738893e-15	3.16939430571655e-13
TRAF3	2149.6843358906	0.900381690793544	0.114881998478414	7.83630339293431	4.64003959591585e-15	3.42127140657655e-13
GLUL	26197.1438987321	-0.83344351746061	0.106387110549065	-7.83399325120312	4.72614160405269e-15	3.46503868868826e-13
GNAT1	255.792851009932	-1.5566029992317	0.197804200168015	-7.83344968950859	4.74662834066885e-15	3.46503868868826e-13
CERS6	1735.01799808295	0.880738435665042	0.112485348613942	7.82834774645571	4.94323096544244e-15	3.5906944532642e-13
PTPN11	3656.22281230743	0.756804936689149	0.0966856554222604	7.82702445941722	4.99551930528954e-15	3.61080072741445e-13
BHLHE40	421.21287971024	-1.32295787560552	0.168839871566949	-7.8207403835869	5.251354848728e-15	3.77711420075421e-13
PCP2	83.4691535864132	-2.27254025561865	0.278215904184559	-7.81713852224812	5.4037628608976e-15	3.867776217461e-13
KEL	399.420817571379	1.34056920235511	0.171261387173739	7.81217774327466	5.62082171827551e-15	4.00360762486683e-13
SAMD4A	424.327310293484	-1.32733829590841	0.170736487342709	-7.75956088830195	8.52239426260723e-15	6.04101888962492e-13
BCKDK	1102.67538318761	1.04981491117902	0.135327487127008	7.75451357538305	8.86827379730804e-15	6.25597026095677e-13
CBX2	4285.97338302048	0.729181110148462	0.0940928433637596	7.74921944096906	9.24591190987479e-15	6.49116102648769e-13
ALK	474.261934611935	-1.5686429025491	0.202444206827944	-7.73328325341674	1.04807742370444e-14	7.32306668476918e-13
PRTFDC1	1519.90477894532	0.949277978676587	0.122955554842399	7.71867527389575	1.17544941387701e-14	8.17410864920256e-13
SDPR	121.429147029209	2.10855132443788	0.268735423402972	7.71503579548301	1.20948283342522e-14	8.37110453530578e-13
COLGALT1	3036.72091495623	0.781583672917342	0.101635131225369	7.6895196256675	1.4768848064237e-14	1.01738642087582e-12
RNF40	3308.37611333945	0.779296086742145	0.101396068285752	7.68515966007362	1.5280630615329e-14	1.04772286457347e-12
RAC1	3495.49242624821	0.795861322225469	0.103868062923238	7.66172102561394	1.83457811099387e-14	1.25203556384246e-12
SLC28A3	125.438009620121	-2.01444631662635	0.2587459317518	-7.65497883147525	1.93344088198982e-14	1.31339713247392e-12
SHISA5	1897.80188983718	0.826234352420005	0.108029758224406	7.64714049159785	2.05497771047697e-14	1.38952479013035e-12
KLF6	1529.33855675483	-0.887952872065502	0.116259398774168	-7.63602174698503	2.24036497478443e-14	1.50793005848679e-12
GRK1	485.910619004521	-1.29622682221995	0.170078007700531	-7.60945747815878	2.75248848449979e-14	1.84416728461486e-12
SGK1	596.707875028348	-1.47396310216081	0.193502203098244	-7.6068037163191	2.8095750748507e-14	1.87385886696747e-12
EMILIN3	1046.36773057289	0.991897519344002	0.130664316336907	7.58810927839057	3.24607106480959e-14	2.15518555357245e-12
MEIS2	973.055813095616	0.960259902275923	0.126837989496463	7.56781660900519	3.79549284182235e-14	2.50861560666934e-12
CAV3	77.1135022693164	-2.2444630992476	0.283868334536564	-7.55991972113994	4.03318204130566e-14	2.65376143910663e-12
LINC00662	1464.25503939977	-0.989573415484276	0.131054635085052	-7.54884029743751	4.39150966307887e-14	2.87663487885519e-12
LINC00883	505.10958607559	-1.40827772926314	0.186533986397436	-7.53768267484897	4.78396230759371e-14	3.11978128619211e-12
TPGS2	5471.57005693931	0.717689184762252	0.0953095064857192	7.52983776315533	5.08034056451925e-14	3.29839987182261e-12
GGA2	2096.03950645502	0.787433976514312	0.105113096913371	7.49044264745236	6.86417163003341e-14	4.43691587345728e-12
RCAN3	1336.30590421419	-0.876156402228882	0.11714843144601	-7.47725658791314	7.58901533701099e-14	4.88393079122642e-12
XRCC6	10017.4612238785	0.709576149259852	0.095078529035753	7.46292478836578	8.46226568828176e-14	5.42213207179731e-12
